"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010","M011","M012"
2015-05-07,0,0,0,NA,0,0,0,NA,0,NA,0,0
2015-05-08,0,0,0,NA,0.1,0,0.1,NA,0,NA,0,0
2015-05-09,0.3,0.1,0,NA,1.3,0,0.2,NA,0.1,NA,0,0.1
2015-05-10,0,0,0.2,1.5,0.8,0.3,NA,NA,0,0.1,0,0
2015-05-11,0,0,0.1,1.2,4.5,0.3,2,NA,0,0,0,0
2015-05-12,0,0.1,0.3,2.7,NA,0,4.4,NA,0,0,0,0
2015-05-13,1.6,1.9,1.4,3.8,NA,1.6,5.9,2.2,0.9,2.4,0.8,1.6
2015-05-14,0,0,0.2,5.8,NA,0.1,1.6,0.6,0.1,0,0,0
2015-05-15,0.2,0,0,0,0.5,0,0.5,0.1,0,0,0,0
2015-05-16,6.3,4,1.1,3.9,4.6,0.9,2.9,5.2,7.2000001,5.7,0.5,5.1
2015-05-17,0.5,0.1,0.1,3.1,2.8,0.2,0.2,3,0.5,3.1,0.1,0
2015-05-18,0.4,3.9,1.6,1.6,7.2,5.5,1.8,9.8,0.4,0.1,2.6000001,0.7
2015-05-19,0,0,0.4,0.1,0,0,0,0,0,0,0,0
2015-05-20,1.8,0.5,1,1.6,1.6,0.7,0.8,1.3,0.6,1,1,0.9
2015-05-21,0.4,0.3,0.4,5.7,4.6,1,4.5,3.5,0.1,0,0.3,0.3
2015-05-22,0,0,0,0,0,0,0.1,0,0,0,0,0
2015-05-23,0.5,1.8,1.5,2.8,6.9,1.9000001,2.5,3,2.3,1.1,0.5,1
2015-05-24,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-25,0.3,0,0,0.1,4.2,0,3.7,3,0,0,0,0
2015-05-26,0.6,0.1,0.1,0.4,0.4,0.1,0.7,0.4,0.3,0.2,0.3,0.6
2015-05-27,0,0.1,0,0,0,0,0,0,0.1,0,0,0
2015-05-28,3.6,1.9,5.5,2.2,0.5,5.6000001,0.8,2.2,1.4,1.3,3.1,2.5
2015-05-29,0.7,0.8,1.8,1.3,3.8,4.3,1.7,1,1,0.7,0.4,0.3
2015-05-30,0,0,0.2,0.1,0.2,0,0.1,0,0,0,0,0.2
2015-05-31,0.7,0.3,1.4,6,6.4,0.3,2.9,1.7,0.4,0.8,0.1,0.4
2015-06-01,1.4,0.2,0.1,0.5,2,0,1.4,1.3,0.1,0.5,0.1,0.5
2015-06-02,0.2,0.1,0.1,2.2,0.7,0,0.9,0.1,0,0.5,0,0
2015-06-03,0.4,0.1,0.2,0.7,2.2,0.1,1.3,1.5,0,0.8,0.1,0.4
2015-06-04,1.2,3.6,2,1.6,6.6,1.2,1.9,3.5,2.3,2.1,0.3,2
